"Project_no","Project.Title","Keyword","Keyword_hit"
"ERO_210","environmental sustainability and economic cooperation in the longue duree: a comparative approach to locality, history and development","environmental","1"
"ERO_211","environmental and individual determinants of variation in vaccine efficacy","environmental","1"
"ERO_212","janet fisher  esrc interdisciplinary environmental social science leadership team feb'22","environmental","1"
"ERO_213","hydrogen: climate and environmental impacts of hydrogen emissions","environmental","1"
"ERO_214","individual and environmental drivers of noise intolerance","environmental","1"
"ERO_215","establishing the environmental context for earth’s first ‘mass extinction’ (cambridge lead)","environmental","1"
"ERO_216","paths: the outbreak of environmental pattern anomalies during a pandemic: a tool for sustainable fisheries","environmental","1"
"ERO_217","grassroots: unlocking environmental data from the turf walls of roman vindolanda","environmental","1"
"ERO_218","uncovering the hidden legacies of colonial time in environmental science research: towards a relational approach","environmental","1"
"ERO_219","structural violence, colonialism and scientific racism: identity and “othering” of sámi human remains in anatomical collections - geber - hidden histories of environmental science: partnership seed fund - 12 may 2021","environmental","1"
"ERO_220","measuring and managing the environmental and social impacts of food imports during a uk food system transformation.","environmental","1"
"ERO_221","eco-beef uk: improving the economical and environmental sustainability of uk beef breeds","environmental","1"
"ERO_222","modelling health and environmental impacts of sustainable diet transitions in brazil","environmental","1"
"ERO_223","social, economic and environmental entanglements in the digital economy","environmental","1"
"ERO_224","eden: environmental deliberative experimentation network","environmental","1"
"ERO_225","a tapestry of treescapes: weaving the cultural, socio-economic and environmental value of trees for a zero carbon and biodiverse future","environmental","1"
"ERO_226","prof nils bunnefeld; application for an axa chair in environmental conflict resolution","environmental","1"
"ERO_227","dstica: cloud-span: specialised analyses for environmental 'omics with cloud-based high performance computing","environmental","1"
"ERO_228","phd in financial technology scholarship-the use of ai to study environmental risks in supply-chain networks","environmental","1"
"ERO_229","pacer: platform for the analysis of climate and environmental risk","environmental","1"
"ERO_230","pacer: platform for the analysis of climate and environmental risk","environmental","1"
"ERO_231","pacer: platform for the analysis of climate and environmental risk","environmental","1"
"ERO_232","pacer: platform for the analysis of climate and environmental risk","environmental","1"
"ERO_233","improving plant resistance to environmental stress by targeting deubiquitinases","environmental","1"
"ERO_234","a novel biohybrid electronic device architecture for environmental and physiological sensing","environmental","1"
"ERO_235","environmentally conscious construction for sub-saharan africa (eccsa)","environmental","1"
"ERO_236","environmentally conscious construction for sub-saharan africa (eccsa)","environmental","1"
"ERO_237","environmentally conscious construction for sub-saharan africa (eccsa)","environmental","1"
"ERO_238","smart-box for combined capture of pig performance and environmental condition","environmental","1"
"ERO_239","gentiarrubia: microorganism-based biosensor for environmental monitoring of wetlands by hybrid, electronic, autonomous, self-deployable, intelligent platform","environmental","1"
"ERO_240","genetic and environmental mechanisms of mental disorders","environmental","1"
"ERO_241","application of genomics to characterise environmental adaptation in mola carplet populations","environmental","1"
"ERO_242","exploiting genomic approaches to identify the environmental basis of depression","environmental","1"
"ERO_243","preparing for peace in fragile contexts: social relationships, environmental change and livelihoods in the lake chad axis of north-eastern nigeria","environmental","1"
"ERO_244","ecoloc: unlocking the environmental sustainability of point-of-care medical and lab-on-chip microcomponents","environmental","1"
"ERO_245","improving plant resistance to environmental stress by targeting deubiquitinases","environmental","1"
"ERO_246","rethinking reparations for african enslavement as cultural, spiritual and environmental repair","environmental","1"
"ERO_247","poverty in rural africa and its relationships with environmental resources and ecosystem services","environmental","1"
"ERO_248","incorporating environmental, social and governance (esg) criteria in credit analysis and ratings (iscar)","environmental","1"
"ERO_249","isp19:environmental stress and telomere attrition; does an enriched post-natal environment have a protective effect on telomere length?","environmental","1"
"ERO_250","sustainable livestock farming - maximising profitability and minimising environmental impact","environmental","1"
"ERO_251","edinburgh environmental omics facility","environmental","1"
"ERO_252","the pork breeding and production cohort study:- improving environmental footprint, health and productivity of pigs by long-term big data capture","environmental","1"
"ERO_253","data alarm: data analysis techniques for health, environmental, and process monitoring","environmental","1"
"ERO_254","genetic and environmental regulation of the lifespan synaptome architecture","environmental","1"
